Primary-general indicator,Candidate ID,Chamber Endorsed?,Main Street Endorsed?,Tea Party Endorsed?,House Freedom Support?,Koch Support?,Club for Growth Endorsed?,Susan B. Anthony Endorsed?,Right to Life Endorsed?,NRA Endorsed?,Great America Endorsed?,Bannon Endorsed?,Trump Endorsed?,Rep Party Support?,No Labels Support?,VoteVets Endorsed?,WFP Endorsed?,Indivisible Endorsed?,PCCC Endorsed?,Justice Dems Endorsed?,Our Revolution Endorsed?,Sanders Endorsed?,Warren Endorsed? ,Biden Endorsed?,Guns Sense Candidate?,Emily Endorsed?,Party Support?,Obama Alum?,STEM?,Self-Funder?,Elected Official?,LGBTQ?,Veteran?,Race,Won Primary,Primary %,Partisan Lean,General Status,Primary Runoff Status,Primary Status,Race Primary Election Date,Race Type,Office Type,District,State,Tot Donation Size
P2018,H8GA07144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,White,0,11.02,-12.73,0,0,0,5/22/18,Regular,Representative,U.S. House Georgia District 7,GA,1000
P2018,H8CA52136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0.0,0,0,0,6/5/18,Regular,Representative,U.S. House California District 52,CA,2000
P2018,H8TX32098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Nonwhite,1,38.43,-4.98,On the Ballot,1,1,3/6/18,Regular,Representative,U.S. House Texas District 32,TX,24860
P2018,H8NY23225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15.33,-13.93,0,0,0,6/26/18,Regular,Representative,U.S. House New York District 23,NY,1000
P2018,H8ND00096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56.22,0.0,On the Ballot,0,1,6/12/18,Regular,Representative,U.S. House North Dakota At-large District,ND,93450
P2018,S8AZ00247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0.0,0,0,0,8/28/18,Regular,Senator,U.S. Senate Arizona,AZ,731848
P2018,H4NE02054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,48.360001,-5.98,0,0,0,5/15/18,Regular,Representative,U.S. House Nebraska District 2,NE,142277
P2018,H8IA03124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,White,1,57.799999,-4.1100001000000015,On the Ballot,0,1,6/5/18,Regular,Representative,U.S. House Iowa District 3,IA,304134
P2018,H8OH12222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,0.0,0,0,0,5/8/18,Regular,Representative,U.S. House Ohio District 12,OH,252170
P2018,H8OH12180,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.72,0.0,On the Ballot,0,1,5/8/18,Regular,Representative,U.S. House Ohio District 12,OH,2012958
P2018,H8NY24090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,62.380001,4.1399998999999985,On the Ballot,0,1,6/26/18,Regular,Representative,U.S. House New York District 24,NY,34471
P2018,H8CA07072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.85,0.0,0,0,0,6/5/18,Regular,Representative,U.S. House California District 7,CA,30000
P2018,S8PA00320,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.03,0.0,On the Ballot,0,1,5/15/18,Regular,Senator,U.S. Senate Pennsylvania,PA,208909
P2018,H8NY25121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.77,14.62,0,0,0,6/26/18,Regular,Representative,U.S. House New York District 25,NY,1000
P2018,H8FL27037,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7,0.0,0,0,0,8/28/18,Regular,Representative,U.S. House Florida District 27,FL,1000
P2018,H8CO07094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0.0,On the Ballot,0,1,6/26/18,Regular,Representative,U.S. House Colorado District 7,CO,200
P2018,H8WV01067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White,0,38.119999,-40.41,0,0,0,5/8/18,Regular,Representative,U.S. House West Virginia District 1,WV,10200
P2018,H8TX01044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,White,0,38.959999,-48.73,0,0,0,3/6/18,Regular,Representative,U.S. House Texas District 1,TX,1000
P2018,H8TX14120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Nonwhite,1,79.83000200000002,-22.33,On the Ballot,0,1,3/6/18,Regular,Representative,U.S. House Texas District 14,TX,4520
P2018,H2MI11133,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0.0,0,0,0,8/7/18,Regular,Representative,U.S. House Michigan District 11,MI,27
P2018,H8NH02283,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,0.0,0,0,0,9/11/18,Regular,Representative,U.S. House New Hampshire District 2,NH,21050
P2018,S8WV00150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97,0.0,0,0,0,5/8/18,Regular,Senator,U.S. Senate West Virginia,WV,1328754
P2018,H8PA11061,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.16,0.0,0,0,0,5/15/18,Regular,Representative,U.S. House Pennsylvania District 13,PA,155376
P2018,H8OR04142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.62,0.0,0,0,0,5/15/18,Regular,Representative,U.S. House Oregon District 4,OR,486
P2018,H8GA07201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,White,1,27.280001,-12.73,On the Ballot,1,1,5/22/18,Regular,Representative,U.S. House Georgia District 7,GA,15000
P2018,S8ME00130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0.0,On the Ballot,0,1,6/12/18,Regular,Senator,U.S. Senate Maine,ME,52862
P2018,S8IN00171,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.17,0.0,On the Ballot,0,1,5/8/18,Regular,Senator,U.S. Senate Indiana,IN,708090
P2018,H8SC04342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.95,0.0,0,0,1,6/12/18,Regular,Representative,U.S. House South Carolina District 4,SC,34944
P2018,H8NY22151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,100.0,-14.26,On the Ballot,0,1,6/26/18,Regular,Representative,U.S. House New York District 22,NY,279712
P2018,H8IL14166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,White,0,13.4,-7.96,0,0,0,3/20/18,Regular,Representative,U.S. House Illinois District 14,IL,4760
P2018,H8WA05193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,White,1,0.0,-14.81,On the Ballot,0,1,8/7/18,Regular,Representative,U.S. House Washington District 5,WA,200615
P2018,H8PA15260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.51,0.0,0,0,0,5/15/18,Regular,Representative,U.S. House Pennsylvania District 7,PA,25567
P2018,H8TX27072,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.09,0.0,0,0,1,3/6/18,Regular,Representative,U.S. House Texas District 27,TX,75000
P2018,H8TN02119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.2,0.0,On the Ballot,0,1,8/2/18,Regular,Representative,U.S. House Tennessee District 2,TN,14000
P2018,H8OR02153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.619999900000002,-21.68,0,0,0,5/15/18,Regular,Representative,U.S. House Oregon District 2,OR,10000
P2018,H8SC04284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,0.0,0,0,0,6/12/18,Regular,Representative,U.S. House South Carolina District 4,SC,5000
P2018,H8CA50106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,White,0,35.509998,-19.48,0,0,0,6/5/18,Regular,Representative,U.S. House California District 50,CA,54200
P2018,H6CA25177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,White,0,38.259998,2.02,0,0,0,6/5/18,Regular,Representative,U.S. House California District 25,CA,43710
P2018,S8ND00104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.87,0.0,0,0,0,6/12/18,Regular,Representative,U.S. House North Dakota At-large District,ND,200
P2018,H8IL06139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,White,1,29.5,0.67000002,On the Ballot,0,1,3/20/18,Regular,Representative,U.S. House Illinois District 6,IL,158710
P2018,H8IL06147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White,0,17.4,0.67000002,0,0,0,3/20/18,Regular,Representative,U.S. House Illinois District 6,IL,2500
P2018,H8NM02222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42,0.0,0,0,0,6/5/18,Regular,Representative,U.S. House New Mexico District 2,NM,27177
P2018,H8TX27049,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.83,0.0,On the Ballot,1,1,3/6/18,Regular,Representative,U.S. House Texas District 27,TX,15568
P2018,H8VA05155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,White,1,100.0,-12.51,On the Ballot,0,1,6/12/18,Regular,Representative,U.S. House Virginia District 5,VA,14053
P2018,H8OK01124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.85,0.0,0,0,0,6/26/18,Regular,Representative,U.S. House Oklahoma District 1,OK,370348
P2018,H8NC02110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Nonwhite,1,56.0,-12.98,On the Ballot,0,1,5/8/18,Regular,Representative,U.S. House North Carolina District 2,NC,7500
P2018,H8NY19256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4.8600001,-6.079999900000002,0,0,0,6/26/18,Regular,Representative,U.S. House New York District 19,NY,13944
P2018,H8MD01193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,White,1,38.0,-29.66,On the Ballot,0,1,6/26/18,Regular,Representative,U.S. House Maryland District 1,MD,15500
P2018,H8FL15222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1,0.0,0,0,0,8/28/18,Regular,Representative,U.S. House Florida District 15,FL,17672
P2018,H8MI13284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Nonwhite,0,6.3000002,60.720001,0,0,0,8/7/18,Regular,Representative,U.S. House Michigan District 13,MI,37000
P2018,H6CA19113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Nonwhite,1,100.0,11.87,On the Ballot,0,1,6/5/18,Regular,Representative,U.S. House California District 21,CA,14000
P2018,H8TX02166,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.42,0.0,On the Ballot,1,1,3/6/18,Regular,Representative,U.S. House Texas District 2,TX,164908
P2018,H8CO06229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,White,1,65.940002,5.420000099999998,On the Ballot,0,1,6/26/18,Regular,Representative,U.S. House Colorado District 6,CO,167334
P2018,H8SC01116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,White,1,71.5,-16.879998999999998,On the Ballot,0,1,6/12/18,Regular,Representative,U.S. House South Carolina District 1,SC,1000
P2018,H0OK01089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.17,0.0,0,0,0,6/26/18,Regular,Representative,U.S. House Oklahoma District 1,OK,9128
P2018,H8CA44109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.47,0.0,0,0,0,6/5/18,Regular,Representative,U.S. House California District 44,CA,2000
P2018,H8PA15286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0.0,On the Ballot,0,1,5/15/18,Regular,Representative,U.S. House Pennsylvania District 4,PA,4500
P2018,H8KS03155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Nonwhite,1,37.299999,-4.0100002,On the Ballot,0,1,8/7/18,Regular,Representative,U.S. House Kansas District 3,KS,744592
P2018,H8PA05287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Nonwhite,0,3.98,25.540001,0,0,0,5/15/18,Regular,Representative,U.S. House Pennsylvania District 5,PA,86
P2018,H8NM01406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,White,0,3.8,13.77,0,0,0,6/5/18,Regular,Representative,U.S. House New Mexico District 1,NM,5000
P2018,H8PA04116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,White,1,72.559998,15.27,On the Ballot,0,1,5/15/18,Regular,Representative,U.S. House Pennsylvania District 4,PA,400168
P2018,H8NY03151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0.0,On the Ballot,0,1,6/26/18,Regular,Representative,U.S. House New York District 3,NY,4000
P2018,H8NY19181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Nonwhite,1,21.99,-6.079999900000002,On the Ballot,0,1,6/26/18,Regular,Representative,U.S. House New York District 19,NY,243003
P2018,H8CA43143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.54,0.0,0,0,0,6/5/18,Regular,Representative,U.S. House California District 43,CA,0
P2018,H8CA01257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,White,1,43.650002,-21.379999,On the Ballot,0,1,6/5/18,Regular,Representative,U.S. House California District 1,CA,2092
P2018,H8AR01029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Nonwhite,1,100.0,-34.810001,On the Ballot,0,1,5/22/18,Regular,Representative,U.S. House Arkansas District 1,AR,1000
P2018,S8MA00276,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.3,0.0,On the Ballot,0,1,9/4/18,Regular,Senator,U.S. Senate Massachusetts,MA,3000
P2018,H8MS03133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16,0.0,0,0,0,6/5/18,Regular,Representative,U.S. House Mississippi District 3,MS,13500
P2018,S8MT00218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.12,0.0,0,0,0,6/5/18,Regular,Senator,U.S. Senate Montana,MT,5000
P2018,H8CA08112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,White,0,59.610001,-17.33,0,0,0,6/5/18,Regular,Representative,U.S. House California District 8,CA,5831
P2018,H6MI07223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,White,1,85.199997,-16.059998999999998,On the Ballot,0,1,8/7/18,Regular,Representative,U.S. House Michigan District 7,MI,200244
P2018,H8NE02220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,51.639999,-5.98,On the Ballot,0,1,5/15/18,Regular,Representative,U.S. House Nebraska District 2,NE,5402
P2018,H8NH01152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.0,0.0,On the Ballot,0,1,9/11/18,Regular,Representative,U.S. House New Hampshire District 1,NH,28435
P2018,H8PA15187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Nonwhite,0,25.43,0.07,0,0,0,5/15/18,Regular,Representative,U.S. House Pennsylvania District 7,PA,63317
P2018,H8TN02200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.0,0,0,0,8/2/18,Regular,Representative,U.S. House Tennessee District 2,TN,5000
P2018,H8TX16109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Nonwhite,1,61.529999,35.419998,On the Ballot,0,1,3/6/18,Regular,Representative,U.S. House Texas District 16,TX,464616
P2018,H6OH02292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34.400002,-17.360001,0,0,0,5/8/18,Regular,Representative,U.S. House Ohio District 2,OH,500
P2018,H8TX26124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,White,1,52.66,-31.629999,On the Ballot,0,1,3/6/18,Regular,Representative,U.S. House Texas District 26,TX,1685
P2018,H4CA24142,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78.37,0.0,On the Ballot,0,1,6/5/18,Regular,Representative,U.S. House California District 24,CA,48000
P2018,H8TX16083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,White,0,21.969999,35.419998,0,0,0,3/6/18,Regular,Representative,U.S. House Texas District 16,TX,5250
P2018,H8IA01094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,White,1,66.800003,-1.73,On the Ballot,0,1,6/5/18,Regular,Representative,U.S. House Iowa District 1,IA,232849
P2018,H8IL04159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Nonwhite,0,21.9,65.089996,0,0,0,3/20/18,Regular,Representative,U.S. House Illinois District 4,IL,8200
P2018,H8NY19173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,White,0,13.18,-6.079999900000002,0,0,0,6/26/18,Regular,Representative,U.S. House New York District 19,NY,8444
P2018,H6CA31134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0.0,On the Ballot,0,1,6/5/18,Regular,Representative,U.S. House California District 31,CA,3265
P2018,H8CA45189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,White,0,13.06,-1.4299999,0,0,0,6/5/18,Regular,Representative,U.S. House California District 45,CA,317630
P2018,H8MI06163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,White,0,28.1,-9.1800003,0,0,0,8/7/18,Regular,Representative,U.S. House Michigan District 6,MI,26595
P2018,H8VA10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,White,0,22.959999,4.6900001,0,0,0,6/12/18,Regular,Representative,U.S. House Virginia District 10,VA,173421
P2018,H8ID01124,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.12,0.0,On the Ballot,0,1,5/15/18,Regular,Representative,U.S. House Idaho District 1,ID,612469
P2018,H8IL04134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Nonwhite,1,66.199997,65.089996,On the Ballot,0,1,3/20/18,Regular,Representative,U.S. House Illinois District 4,IL,129001
P2018,H8CA49090,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.34,0.0,0,0,0,6/5/18,Regular,Representative,U.S. House California District 49,CA,153977
P2018,H8OH10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67.019997,-8.4799995,On the Ballot,0,1,5/8/18,Regular,Representative,U.S. House Ohio District 10,OH,13000
P2018,H8WA03172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,White,0,0.0,-8.510000199999999,0,0,0,8/7/18,Regular,Representative,U.S. House Washington District 3,WA,78
P2018,H8WV03113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.19,0.0,0,0,0,5/8/18,Regular,Representative,U.S. House West Virginia District 3,WV,500
P2018,H8NY01155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,35.450001,-11.63,On the Ballot,0,1,6/26/18,Regular,Representative,U.S. House New York District 1,NY,9600
P2018,H8NJ11233,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.93,0.0,0,0,0,6/5/18,Regular,Representative,U.S. House New Jersey District 11,NJ,8500
P2018,H8NY23167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.44,-13.93,0,0,0,6/26/18,Regular,Representative,U.S. House New York District 23,NY,388
